section,start,end,title,institution,link,description_1,description_2,loc
presen_posters,,2015,"Mahowald, K., Kline, M., Fedorenko, E. & Gibson, T. (2015). Informativity and efficient compression of sentences. Poster presented at the Annual CUNY Conference on Human Sentence Processing, CUNY 2015. Los Angeles, CA",,,,,
presen_posters,,2014,"Kline, M., Snedeker, J. (2014) Daxing my toy or Daxing TO my toy? Two-year-olds use syntax to override rational imitation effects. Poster presented at the 39th Annual Boston University Conference on Language Development, Boston, MA.",,,,,
presen_posters,,2011,"Friel, D., Kline, M., Seed, A., & Schulz, L. (2011). It's okay to judge a block by its color: Toddlers' use of symbolic and intrinsic cues to objects' causal powers. Poster presented at the Seventh Biennial Meeting of the Cognitive Development Society, Philadelphia, PA.",,,,,
awards,,2015,"Harvard University Foundations of Human Behavior Grant ($40,000)",,,,,
awards,2012,2014,NSF SBE Doctoral Dissertation Research Improvement Grant,,,"Project title: Causal Representations in Children’s Transitive Sentences; $12,000",,
awards,2011,2014,NSF Graduate Student Fellowship,,,,,
awards,2010,2011,Norman B. Leventhal Fellowship,,,,,
awards,2009,2010,Singleton Graduate Fellowship,,,,,
service,2018,2021,Executive Committee,Society for the Improvement of Psychological Science,,,,
service,2017,,Steering Committee,PsyArxiv,,,,
service,2015,,Governing Board,ManyBabies,,,,
service,,2017,Organizing Committee,CUNY Sentence Processing Conference ,,,,
service,,2016,Co-Chair,Events in Language & Cognition Workshop,,,,
service,2010,2011,CogLunch Coordinator,MIT Brain & Cognitive Sciences,,,,
service,,,Peer Reviewer,,,"Autism Research, Collabra: Psychology, Cognitive Science, Developmental Science, Infant Behavior & Development, Journal of Child Language, Journal of Experimental Psychology, Language Cognition & Neuroscience, Language Learning and Development, Semantics and Pragmatics (Journals); Society for Research in Child Development, Cognitive Science, CUNY Sentence Processing Conference (Conferences)",,
teaching,,2018,Senior Teaching Fellow,Harvard Extension School,,Human Development (Graduate/Undergraduate level) ,,
teaching,,2013,Teaching Fellow,Harvard University,,Science of Living Systems 20/Introduction to Psychological Science,,
teaching,2013,2014,Project consultant,MIT Brain & Cognitive Sciences,,‘Special Topics’ independent research students,,
teaching,2011,2012,Graduate Student Teaching Certificate Program,MIT,,,,
service,,2021,Invited participant,MIT Brain & Cognitive Sciences,,9.S914 Tools for Robust Science,,
teaching,,2011,Teaching Assistant,MIT Brain & Cognitive Sciences,,Infant & Early Childhood Cognition,,
teaching,,2011,Teaching Assistant,MIT Brain & Cognitive Sciences,,Laboratory in Higher-Level Cognition,,
teaching,,2006,Teaching Assistant,Brown University,,Models of Computation,,
teaching,2008,2009,Americorps: After-school science educator,Providence Children’s Museum,,,,
teaching,2010,2019,"Supervisor for 4 masters’ students, 10 full time and 34 part time/semester undergraduate research assistants, including one senior thesis supervision.",,,,,
service,,2016,Co-Organizer,Learning to Talk About Events Workshop,,,,
